"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
182	25	04	05	03	18	02	53		-15	-8	-8	-8	-1	3	14	6	7	19	32	26	39	17										-52		17	12	13	21	18	19	27	27	30	32	39	46	36	23										82		0	0	-1	1	0	0	0	0	0	-2	-1	-2	0	0										29		-1	-7	-3	0	5	9	7	-1	-7	3	5	-1	9	25												23	14	15	22	18	19	30	28	31	37	50	53	53	29										97		318.60	326.30	328.40	339.10	356.80	9.00	27.40	12.50	13.10	30.70	39.40	29.50	47.30	36.50										327.60	
183	25	04	05	03	38	02	53		-14	-23	-9	2	-8	0	11	17	16	30	31	28	33	12										8		14	14	13	21	11	18	25	24	27	22	17	29	21	23										-35		0	0	-1	0	1	3	0	0	0	0	1	0	-1	-3										17		2	2	4	2	2	-6	-2	7	6	-1	9	-2	5	-16												20	27	16	21	14	18	27	29	31	37	35	40	39	26										36		315.00	301.30	325.30	5.40	324.00	0.00	23.70	35.30	30.70	53.70	61.30	44.00	57.50	27.60										167.10	
184	25	04	05	03	58	02	53		-13	-8	1	9	1	14	18	26	25	21	25	39	34	51										0		-4	9	-1	-4	5	14	2	16	-1	10	9	6	-6	60										16		-1	0	0	0	0	0	0	0	0	0	2	2	-3	11										17		-2	12	10	1	10	6	0	0	7	-2	4	10	-2	115												14	12	1	10	5	20	18	31	25	23	27	39	35	79										16		252.90	318.40	135.00	114.00	11.30	45.00	83.70	58.40	92.30	64.50	70.20	81.30	100.00	40.40										0.00	
185	25	04	05	04	18	02	53		-19	-10	-9	5	-3	7	22	25	29	25	41	32	20	40	-3							4		-39		-8	-10	1	-2	2	14	16	9	14	21	13	3	2	23	14							120		62		-2	0	2	1	-1	1	-1	0	1	2	4	2	0	-3	21							-9		25		0	0	1	-5	-3	-5	-3	6	11	3	-1	0	-1	-14												21	14	9	5	4	16	27	27	32	33	43	32	20	46	14							120		73		247.20	225.00	276.30	111.80	303.70	26.60	54.00	70.20	64.20	50.00	72.40	84.60	84.30	60.10	347.90							1.90		327.80	
186	25	04	05	04	38	02	53		-26	-26	-12	-8	1	13	28	27	22	31	45	29	12	29	399			-75	14	-9	37	0		-61		-18	-17	-15	-5	-6	2	7	5	-2	-3	-5	-4	-3	26	316			-34	62	23	31	57		75		1	0	0	0	0	-1	0	0	-1	-2	0	2	2	-10	-46			12	-3	-4	-6	-3		29		4	1	3	-3	-1	16	-3	2	6	-5	2	-6	-1	-18					33	33	-18	-22				32	31	19	9	6	13	29	27	22	31	45	29	12	39	509			82	64	25	48	57		97		235.30	236.80	218.70	238.00	170.50	81.30	76.00	79.50	95.20	95.50	96.30	97.90	104.00	48.10	51.60			245.60	12.70	338.60	50.00	0.00		320.90	
187	25	04	05	04	58	02	53		-23	-16	-2	1	9	13	13	21	26	11	20	21	27	-8						100	2	-37		-47		-39	-36	-32	-33	-27	-19	-14	-19	-10	-28	-34	-13	-22	-61						42	-25	-18		57		0	0	0	-1	2	4	3	1	3	0	2	5	3	8						-20	-9	-8		34		-10	-2	1	7	9	0	-4	1	-2	0	-10	-2	-18	96												45	39	32	33	28	23	19	28	28	30	39	25	35	62						108	25	41		74		210.50	204.00	183.60	178.30	161.60	145.60	137.10	132.10	111.00	158.60	149.50	121.80	129.20	187.50						67.20	175.40	244.10		320.50	
188	25	04	05	05	18	02	53		-16	-13	-8	-4	0	16	15	19	25	18	5	25	39	13							-149			-32		-42	-29	-42	-38	-35	-32	-30	-16	-18	-18	-35	-25	-34	3							162			28		1	3	1	0	1	1	1	4	2	3	4	2	3	11							-38			32		-4	1	5	0	-2	-3	-8	-3	0	1	4	6	-7	29												45	32	43	38	35	36	34	25	31	25	35	35	52	13							220			43		200.90	204.10	190.80	186.00	180.00	153.40	153.40	130.10	125.80	135.00	171.90	135.00	131.10	77.00							317.40			311.20	
189	25	04	05	05	38	02	53		-3	-12	1	4	9	16	13	7	30	30	16	12	15	-6						-72	2	47		-2		-22	-27	-39	-23	-32	-20	-7	-9	-3	-6	-26	-31	-29	-2						38	67	200		-16		0	1	0	2	3	3	3	2	2	1	3	3	1	9						12	3	-14		25		-6	4	3	3	12	6	-10	-11	-3	1	10	-6	7	84												22	30	39	23	33	26	15	11	30	31	31	33	33	6						81	67	205		16		187.80	204.00	178.50	170.10	164.30	141.30	118.30	142.10	95.70	101.30	148.40	158.80	152.70	251.60						297.80	1.70	13.20		187.10	
190	25	04	05	05	58	02	53		-16	-18	-7	-1	6	4	18	28	24	16	20	15	20	11	46	71	27							0	-8	-43	-43	-34	-37	-36	-38	-43	-36	-53	-39	-32	-40	-33	-19	-42	-29	-46							4	-23	3	1	1	0	0	2	1	3	1	3	3	-1	4	2	1	-4	-15							-1	5	6	-5	5	1	-2	1	1	-6	-7	-5	2	10	-3	1	22											46	47	35	37	36	38	47	46	58	42	38	43	39	22	62	77	53							4	24	200.40	202.70	191.60	181.50	170.50	174.00	157.30	142.10	155.60	157.70	148.00	159.40	148.80	149.90	132.40	112.20	149.60							0.00	199.20
191	25	04	05	06	18	02	53		-6	4	2	5	5	9	17	16	26	22	18	10	0	6									-17	-12	-57	-48	-45	-50	-49	-49	-45	-48	-41	-38	-43	-33	-61	-55	-55									47	103	72	1	-1	1	1	3	1	3	4	4	5	5	2	3	4									-8	-1	10	6	-1	-1	-5	-5	-7	2	1	-5	2	-8	-6	0	19												48	45	50	49	49	46	51	44	46	48	38	62	55	55									50	104	92	187.10	174.90	177.70	174.20	174.20	168.70	160.50	158.70	145.60	152.90	151.40	170.70	180.00	173.80									340.10	353.40	321.60
192	25	04	05	06	38	02	53		5	5	9	-2	15	11	2	23	8	9	2	5	11	-14										-23	-115	-31	-19	-28	-21	-33	-19	-19	-16	-26	-25	-21	-39	-22	-52										113	178	2	2	2	3	2	2	6	3	6	5	6	4	2	8										2	34	3	0	-1	-2	-6	0	-4	-1	-1	-13	-3	2	3	44												31	20	29	21	36	22	19	28	27	27	21	39	25	54										115	212	170.80	165.30	162.20	185.40	155.60	149.90	174.00	124.80	162.90	160.20	174.60	172.70	153.40	195.10										348.50	327.10
193	25	04	05	06	58	02	53		15	11	7	5	13	8	0	9	5	18	10	10	6	10					43				-64	-28		-20	-25	-32	-21	-29	-35	-28	-27	-19	-37	-32	-54	-55	-86					159				53	112		0	1	1	2	1	2	3	3	2	1	0	2	1	3					-13				-11	1		7	-3	0	0	-4	3	0	-1	9	-14	3	9	0	-11												25	27	33	22	32	36	28	28	20	41	34	55	55	87					165				83	115		143.10	156.30	167.70	166.60	155.90	167.10	180.00	161.60	165.30	154.10	162.60	169.50	173.80	173.40					15.10				309.60	346.00	
194	25	04	05	07	18	02	53		23	23	20	15	16	4	2	-2	2	-8	1	-11	-8	2	28	-58							-4	-31	-69	-36	-25	-35	-35	-45	-44	-42	-48	-39	-40	-48	-30	-43	-34	-20	6							-103	89	49	0	0	0	0	1	3	3	2	0	2	1	0	2	1	17	15							29	4	15	4	5	-6	2	0	-3	-5	-3	2	8	-3	14	-1	14												43	34	40	38	48	44	42	48	39	41	48	32	44	34	34	58							103	94	85	147.40	137.40	150.30	156.80	160.40	174.80	177.30	182.40	177.10	191.30	178.80	200.10	190.50	176.60	125.50	275.90							182.20	340.80	305.40
195	25	04	05	07	38	02	53		12	18	27	22	13	9	15	0	-2	-3	-8	2	-17	18	75			137					-20	-71	36	-53	-54	-49	-62	-59	-61	-52	-55	-54	-36	-40	-24	-28	-36	-169			-32					33	82	142	1	1	1	1	1	5	1	3	2	5	4	5	4	1	-68			-18					-16	29	49	-1	-4	4	5	-3	0	-1	-8	6	0	2	8	-9	-4	142											54	57	56	66	60	62	54	55	54	36	41	24	33	40	185			141					39	108	146	167.20	161.60	151.10	160.50	167.60	171.60	163.90	180.00	182.10	184.80	191.30	175.20	211.30	153.40	156.10			103.10					328.80	319.10	14.20
196	25	04	05	07	58	02	53		25	18	28	26	19	3	8	5	6	-2	-19	-13	-1	6	200									-60	67	-38	-40	-48	-42	-44	-48	-50	-48	-52	-48	-49	-47	-40	-39	-37									88	100	1	1	1	1	2	3	4	6	3	3	7	7	7	5	33									14	44	7	-7	1	6	-2	1	-8	1	0	1	10	7	-6	-9												45	44	56	49	48	48	51	48	52	48	53	49	40	39	203									107	120	146.70	155.80	149.70	148.20	156.60	176.40	170.90	174.10	173.40	182.40	201.20	195.50	181.40	171.30	100.50									325.70	33.80
197	25	04	05	08	18	02	53		29	22	21	22	12	14	2	8	3	7	-6	-8	-13	4	-54		2						-63	2	119	-50	-37	-47	-52	-50	-52	-64	-60	-50	-47	-52	-60	-45	-30	30		42						160	6	79	3	2	3	3	4	3	4	3	4	3	4	6	3	6	41		-9						-43	2	60	2	3	0	-4	4	2	0	13	1	-3	-8	-7	5	-10												58	43	51	56	51	54	64	61	50	48	52	61	47	30	62		42						172	6	143	149.90	149.30	155.90	157.10	166.50	164.90	178.20	172.40	176.60	171.50	186.60	187.60	196.10	172.40	299.10		2.70						338.50	18.40	56.40
198	25	04	05	08	38	02	53		22	21	21	20	28	24	19	6	15	5	8	8	-1	-9	-29								-29			-65	-68	-80	-74	-70	-74	-79	-77	-80	-77	-84	-77	-74	-59	-159								32			0	2	4	3	2	2	2	4	2	2	0	2	0	0	-16								-20			-1	-2	3	-8	-2	-7	3	-2	8	3	7	-20	-6	-14												69	71	83	77	75	78	81	77	81	77	84	77	74	60	162								43			161.30	162.80	165.30	164.90	158.20	162.00	166.50	175.50	169.40	176.30	174.60	174.10	180.80	188.70	190.30								317.80		
199	25	04	05	08	58	02	53		25	33	28	26	31	19	15	13	13	9	-1	-1	-1	-7	13								13			-83	-88	-85	-91	-96	-86	-83	-86	-81	-86	-72	-81	-68	-63	-108								2			3	2	1	1	-1	2	1	1	1	3	3	1	4	1	-12								-7			-6	0	11	-1	-2	1	3	9	4	2	-2	-9	-3	0	117											87	94	89	95	101	88	84	87	82	86	72	81	68	63	109								13			163.20	159.40	161.80	164.10	162.10	167.50	169.80	171.40	170.90	174.00	180.80	180.70	180.80	186.30	173.10								81.30		
200	25	04	05	09	18	02	53		16	28	14	14	15	6	2	-7	-4	-10	-8	-15	0	5	1								-59			-74	-86	-85	-79	-83	-83	-88	-82	-75	-69	-65	-48	-42	-28	-64								66			1	0	0	0	0	-1	0	-1	-2	0	0	1	-1	0	10								-17			-1	4	-1	7	-9	-10	0	1	-7	4	-5	-4	-2	-4												76	90	86	80	84	83	88	82	75	70	65	50	42	28	64								89			167.80	162.00	170.60	170.00	169.80	175.90	178.70	184.90	183.10	188.20	187.00	197.40	180.00	169.90	179.10								318.20		
201	25	04	05	09	38	02	53		12	11	14	18	16	3	-15	-6	3	-2	8	4	6	-2	-34		15						-46			-79	-92	-84	-65	-56	-62	-57	-52	-50	-47	-27	-18	-17	-13	47		-42						67			1	0	0	0	0	0	-2	0	-1	-1	-4	0	-2	1	-8		6						-17			11	1	0	5	-2	2	4	3	2	10	0	3	-3	2												80	93	85	67	58	62	59	52	50	47	28	18	18	13	58		45						81			171.40	173.20	170.50	164.50	164.10	177.20	194.70	186.60	176.60	182.40	163.50	167.50	160.60	188.70	324.10		160.30						325.50		
202	25	04	05	09	58	02	53		20	17	7	3	-10	-12	-3	-16	-1	-14	-7	-1	-18	-21	-14								-54			-72	-80	-83	-82	-70	-55	-64	-52	-55	-35	-27	-17	-27	-13	-100								101			-1	2	2	3	0	0	-1	1	-2	0	-1	0	2	-2	0								-17			3	0	-6	1	1	5	-4	12	3	0	0	1	-8	-6												75	82	83	82	71	56	64	54	55	38	28	17	32	25	101								115			164.50	168.00	175.20	177.90	188.10	192.30	182.70	197.10	181.00	201.80	194.50	183.40	213.70	238.20	188.00								331.90		
203	25	04	05	10	18	02	53		15	8	16	-6	6	1	-9	-7	-16	-3	-13	-1	2	-1									-15			-71	-74	-62	-65	-59	-48	-45	-41	-39	-21	-25	-25	-6	-46									86			0	1	1	3	0	1	0	1	-1	0	0	2	0	-3									-9			-6	1	3	2	-1	1	0	2	12	-7	16	1	3	10												73	74	64	65	59	48	46	42	42	21	28	25	6	46									87			168.10	173.80	165.50	185.30	174.20	178.80	191.30	189.70	202.30	188.10	207.50	182.30	161.60	181.20									350.10		
204	25	04	05	10	38	02	53		25	1	-21	2	-8	-4	-11	-10	-10	-7	-13	-7	10	-6								37	3	-76		-55	-52	-60	-44	-51	-51	-34	-5	-32	-22	-5	0	14	-7								-192	39	105		3	1	-2	-1	0	-2	-2	-4	0	0	1	0	3	2								-42	-1	40		-4	-12	-16	4	-7	6	-4	11	5	-4	3	15	-10	-19												60	52	64	44	52	51	36	11	34	23	14	7	17	9								196	39	130		155.60	178.90	199.30	177.40	188.90	184.50	197.90	243.40	197.40	197.70	249.00	270.00	35.50	220.60								169.10	4.40	324.10	
205	25	04	05	10	58	02	53			-167	-1									18	37	9	1	12	15	-25	-24	-3	-18	-6	-15	10	29		224	77									21	61	49	24	38	46	38	6	-15	-7	-9	-15	7	3		72	24									26	-15	2	0	1	7	4	-1	-1	-3	3	2	4	5			-8										33	-28	14	5	-5	9	-3	5	7	7	-12	2	-3		279	77									28	71	50	24	40	48	45	25	15	19	11	21	12	29		323.30	359.30									40.60	31.20	10.40	2.40	17.50	18.10	326.70	284.00	191.30	248.70	213.70	225.00	55.00	84.10
206	25	04	05	11	18	02	53																																																																																																																																																							
207	25	04	05	11	38	02	53																																																																																																																																																							
208	25	04	05	11	58	02	53																																																																																																																																																							
209	25	04	05	12	18	02	53																																																																																																																																																							
210	25	04	05	12	38	02	53																																																																																																																																																							
211	25	04	05	12	58	02	53																																																																																																																																																							
