"Temperature [ITS-90 deg C]","Conductivity [S/m]","Time [Elapsed seconds]","Pressure [Strain Gauge db]","Density [TEOS-10 kg/m^3]","Temperature [Potential, ITS-90 deg C]","Practical Salinity [PSU]",flag
-1.77520410,2.725520714,235200,0,1027.878147,-1.77520410,34.62518370,0
-1.78384895,2.724760786,236400,0,1027.877970,-1.78384895,34.62466121,0
-1.79047841,2.724120902,237600,0,1027.877184,-1.79047841,34.62345995,0
-1.79153363,2.724046636,238800,0,1027.877372,-1.79153363,34.62365486,0
-1.79044543,2.724218032,240000,0,1027.878256,-1.79044543,34.62478122,0
-1.79004971,2.724218029,241200,0,1027.877869,-1.79004971,34.62431814,0
-1.78965398,2.724263734,242400,0,1027.878001,-1.78965398,34.62449499,0
-1.78882951,2.724332291,243600,0,1027.877974,-1.78882951,34.62449010,0
-1.78843375,2.724355142,244800,0,1027.877846,-1.78843375,34.62434695,0
-1.78774115,2.724400846,246000,0,1027.877688,-1.78774115,34.62417642,0
-1.78701555,2.724429409,247200,0,1027.877302,-1.78701555,34.62372731,0
-1.78929121,2.724229450,248400,0,1027.877256,-1.78929121,34.62359055,0
-1.78929121,2.724338008,249600,0,1027.878491,-1.78929121,34.62511037,0
-1.79278663,2.723886672,250800,0,1027.876780,-1.79278663,34.62288131,0
-1.79750113,2.723441087,252000,0,1027.876327,-1.79750113,34.62215865,0
-1.80096208,2.723195462,253200,0,1027.876921,-1.80096208,34.62276896,0
-1.78120972,2.725069326,254400,0,1027.878894,-1.78120972,34.62589213,0
-1.77220058,2.725955009,255600,0,1027.880142,-1.77220058,34.62774754,0
-1.77302577,2.726012165,256800,0,1027.881600,-1.77302577,34.62951271,0
-1.77361989,2.726000740,258000,0,1027.882052,-1.77361989,34.63004789,0
-1.75684551,2.727400898,259200,0,1027.881540,-1.75684551,34.63001469,0
-1.74785787,2.728115364,260400,0,1027.880857,-1.74785787,34.62949568,0
-1.77295976,2.726217905,261600,0,1027.883874,-1.77295976,34.63231453,0
-1.78348608,2.725366488,262800,0,1027.884501,-1.78348608,34.63271520,0
-1.78836779,2.725000812,264000,0,1027.885124,-1.78836779,34.63330909,0
-1.78642185,2.725189366,265200,0,1027.885362,-1.78642185,34.63367139,0
-1.78008794,2.725663618,266400,0,1027.884552,-1.78008794,34.63289773,0
-7.54838861,-0.00007332,267600,0,2.463402422,-7.54838861,-9.99e-29,0
-11.9918473,-0.00008621,268800,0,2.463402422,-11.9918473,-9.99e-29,0
16.48213348,-0.00005549,270000,0,2.463402422,16.48213348,-9.99e-29,0
10.03150984,-0.00001588,271200,0,2.463402422,10.03150984,-9.99e-29,0
10.36050623,-0.00001286,272400,0,2.463402422,10.36050623,-9.99e-29,0
12.57890801,-0.00000935,273600,0,2.463402422,12.57890801,-9.99e-29,0
14.86647226,-0.00000583,274800,0,2.463402422,14.86647226,-9.99e-29,0
